"city","group","mappedPeople","summaryPeople","modelPeople","omittedFromMap","coveragePct","carPct","transitPct","softPct","unknownPct"
"zurich","foreignInbound","4278","4278","4278","0","100","16.386161757830763","61.87470780738663","21.73913043478261","0"
"zurich","swissInbound","233667","244783","244783","11116","95.45883496811462","28.2842677827849","69.70731853449567","2.0084136827194254","0"
"zurich","swissOutbound","59883","65738","65738","5855","91.09343150080623","32.31635021625503","63.527211395554666","4.156438388190304","0"
"geneva","foreignInbound","118892","118892","118892","0","100","78.46112438179188","15.822763516468727","5.716112101739394","0"
"geneva","swissInbound","21301","23398","23398","2097","91.03769552953244","39.758696774799304","56.81892868879395","0","3.4223745364067413"
"geneva","swissOutbound","5522","6881","6881","1359","80.2499636680715","34.77001086562839","58.89170590365809","0","6.338283230713509"
"basel","foreignInbound","35367","35367","35367","0","100","14.751039104249724","46.67345265360364","38.57550824214663","0"
"basel","swissInbound","63516","69635","69635","6119","91.2127522079414","30.97487247307765","56.03627432457964","12.988853202342717","0"
"basel","swissOutbound","19562","24985","24985","5423","78.29497698619171","30.98865146713015","55.96564768428586","13.045700848583989","0"
"lausanne","foreignInbound","8782","8782","8782","0","100","23.878387611022546","53.791846959690275","22.32976542928718","0"
"lausanne","swissInbound","59396","61593","61593","2197","96.43303622164856","48.0621590679507","30.48185062967203","21.235436729746112","0.2205535726311536"
"lausanne","swissOutbound","25567","26589","26589","1022","96.15630523900862","25.826260413814683","54.15965893534634","19.579927249970666","0.4341534008683068"
"bern","foreignInbound","593","593","593","0","100","16.020236087689714","53.288364249578414","30.69139966273187","0"
"bern","swissInbound","99175","106124","106124","6949","93.45199954769892","35.38089236198639","58.590370557096044","6.02873708091757","0"
"bern","swissOutbound","17906","21725","21725","3819","82.42117376294591","30.118396068356976","59.88495476376634","9.99664916787669","0"
"winterthur","foreignInbound","1148","1148","1148","0","100","30.662020905923345","47.038327526132406","22.299651567944252","0"
"winterthur","swissInbound","35414","36580","36580","1166","96.81246582832149","49.0681651324335","45.97052013328062","4.961314734285875","0"
"winterthur","swissOutbound","29655","30590","30590","935","96.94344557044786","33.81891755184623","64.201652335188","1.979430112965773","0"
"lucerne","foreignInbound","235","235","235","0","100","28.51063829787234","42.97872340425532","28.51063829787234","0"
"lucerne","swissInbound","39617","40921","40921","1304","96.813372107231","44.38751041219678","46.444708079864704","9.16778150793851","0"
"lucerne","swissOutbound","18289","19182","19182","893","95.3445938901053","43.27191207829843","50.194105746623656","6.533982175077916","0"
"st-gallen","foreignInbound","1668","1668","1668","0","100","39.08872901678657","39.148681055155876","21.762589928057555","0"
"st-gallen","swissInbound","45851","46841","46841","990","97.88646698405243","56.018407450219186","42.02961767464178","1.9519748751390373","0"
"st-gallen","swissOutbound","12551","12938","12938","387","97.00881125367135","55.1270815074496","41.9886861604653","2.8842323320850927","0"
"lugano","foreignInbound","15663","15663","15663","0","100","51.45885207176148","25.21228372597842","23.328864202260103","0"
"lugano","swissInbound","18165","18248","18248","83","99.54515563349408","52.38645747316268","22.438755849160472","25.174786677676853","0"
"lugano","swissOutbound","7131","7197","7197","66","99.08295122967904","51.45140933950358","25.24190155658393","23.306689103912493","0"
"biel-bienne","foreignInbound","558","558","558","0","100","32.437275985663085","41.39784946236559","26.164874551971327","0"
"biel-bienne","swissInbound","20955","22117","22117","1162","94.74612289189311","50.40801717967072","25.473633977570984","24.11834884275829","0"
"biel-bienne","swissOutbound","9737","10854","10854","1117","89.70886309194766","33.0389236931293","43.80199240012324","23.15908390674746","0"
"schaffhausen","foreignInbound","3218","3218","3218","0","100","42.169049098819144","38.62647607209447","19.20447482908639","0"
"schaffhausen","swissInbound","10731","12322","12322","1591","87.0881350430125","50.871307427080424","25.430994315534434","23.697698257385145","0"
"schaffhausen","swissOutbound","5563","7764","7764","2201","71.6512107161257","43.034333992450115","39.63688657199353","17.328779435556356","0"
"la-chaux-de-fonds","foreignInbound","5580","5580","5580","0","100","54.92831541218638","26.72043010752688","18.351254480286737","0"
"la-chaux-de-fonds","swissInbound","7012","7469","7469","457","93.88137635560317","51.49743297204792","26.0125499144324","22.49001711351968","0"
"la-chaux-de-fonds","swissOutbound","4658","5158","5158","500","90.30632027917798","54.61571489909833","27.264920566766854","18.11936453413482","0"
"chiasso","foreignInbound","5590","5590","5590","0","100","45.348837209302324","29.28443649373882","25.366726296958856","0"
"chiasso","swissInbound","2600","2890","2890","290","89.96539792387543","53.34615384615385","22.153846153846153","24.5","0"
"chiasso","swissOutbound","939","1333","1333","394","70.44261065266316","45.580404685835994","29.49946751863685","24.920127795527158","0"
