"city","check","actual","expected","status","severity"
"all","Original 2020 matrix is present and has unique perspective/OD rows","0","0","pass","high"
"zurich","Unique corridor keys","0","0","pass","high"
"zurich","Valid corridor values","0","0","pass","high"
"zurich","Corridor count agrees with summary","2921","2921","pass","high"
"zurich","car cache references current corridors","0","0","pass","medium"
"zurich","rail cache references current corridors","0","0","pass","medium"
"zurich","active cache references current corridors","0","0","pass","medium"
"zurich","Route geometry and travel times","0","0","pass","high"
"zurich","Route endpoint snap within review threshold","0","0","pass","medium"
"zurich","Rail edge and station integrity","0","0","pass","high"
"zurich","Car coverage inbound at least 95% of mapped estimates","95.69858665708468","95","pass","high"
"zurich","Car coverage outbound at least 95% of mapped estimates","95.23046713517982","95","pass","high"
"zurich","Mode filters add to all-mode population within rounding","1","2","pass","high"
"zurich","No modes gives zero population change","0","0","pass","high"
"zurich","foreignInbound rows conserve mapped summary","4278","4278","pass","high"
"zurich","foreignInbound population scope matches summary","4278","4278","pass","high"
"zurich","swissInbound rows conserve mapped summary","233667","233667","pass","high"
"zurich","swissInbound population scope matches summary","244783","244783","pass","high"
"zurich","swissOutbound rows conserve mapped summary","59883","59883","pass","high"
"zurich","swissOutbound population scope matches summary","65738","65738","pass","high"
"zurich","Original resident mode counts are available","true","true","pass","high"
"zurich","FSO 2023 car share copied accurately","0.16403987917299234","0.16403987917299234","pass","high"
"zurich","FSO 2023 transit share copied accurately","0.6186958404415716","0.6186958404415716","pass","high"
"zurich","FSO 2023 soft share copied accurately","0.21726428038543608","0.21726428038543608","pass","high"
"zurich","Original border-worker total is available","true","true","pass","high"
"zurich","FSO Q4 2025 border-worker total rounded correctly","4278","4278","pass","high"
"zurich","car inbound uses domestic-worker benchmark within per-pair rounding","66091","66087.63636363637","pass","high"
"zurich","transit inbound uses domestic-worker benchmark within per-pair rounding","162883","162858.81818181818","pass","high"
"zurich","soft inbound uses domestic-worker benchmark within per-pair rounding","4693","4720.545454545455","pass","high"
"zurich","Original FSO 2020 inbound total","244783","244783","pass","high"
"zurich","Every mapped FSO inbound pair matches original","0","0","pass","high"
"zurich","Original FSO 2020 outbound total","65738","65738","pass","high"
"zurich","Every mapped FSO outbound pair matches original","0","0","pass","high"
"zurich","Population follows the routed departure and arrival model","0","0","pass","high"
"zurich","No nonlocal active journeys affect the chart","0","0","pass","high"
"geneva","Unique corridor keys","0","0","pass","high"
"geneva","Valid corridor values","0","0","pass","high"
"geneva","Corridor count agrees with summary","5886","5886","pass","high"
"geneva","car cache references current corridors","0","0","pass","medium"
"geneva","rail cache references current corridors","0","0","pass","medium"
"geneva","active cache references current corridors","0","0","pass","medium"
"geneva","Route geometry and travel times","0","0","pass","high"
"geneva","Route endpoint snap within review threshold","0","0","pass","medium"
"geneva","Rail edge and station integrity","0","0","pass","high"
"geneva","Car coverage inbound at least 95% of mapped estimates","95.00097276264592","95","pass","high"
"geneva","Car coverage outbound at least 95% of mapped estimates","95.04666188083273","95","pass","high"
"geneva","Mode filters add to all-mode population within rounding","1","2","pass","high"
"geneva","No modes gives zero population change","0","0","pass","high"
"geneva","foreignInbound rows conserve mapped summary","118892","118892","pass","high"
"geneva","foreignInbound population scope matches summary","118892","118892","pass","high"
"geneva","swissInbound rows conserve mapped summary","21301","21301","pass","high"
"geneva","swissInbound population scope matches summary","23398","23398","pass","high"
"geneva","swissOutbound rows conserve mapped summary","5522","5522","pass","high"
"geneva","swissOutbound population scope matches summary","6881","6881","pass","high"
"geneva","Population follows the routed departure and arrival model","0","0","pass","high"
"geneva","No nonlocal active journeys affect the chart","0","0","pass","high"
"basel","Unique corridor keys","0","0","pass","high"
"basel","Valid corridor values","0","0","pass","high"
"basel","Corridor count agrees with summary","1269","1269","pass","high"
"basel","car cache references current corridors","0","0","pass","medium"
"basel","rail cache references current corridors","0","0","pass","medium"
"basel","active cache references current corridors","0","0","pass","medium"
"basel","Route geometry and travel times","0","0","pass","high"
"basel","Route endpoint snap within review threshold","0","0","pass","medium"
"basel","Rail edge and station integrity","0","0","pass","high"
"basel","Car coverage inbound at least 95% of mapped estimates","96.34406010204492","95","pass","high"
"basel","Car coverage outbound at least 95% of mapped estimates","95.05113823820521","95","pass","high"
"basel","Mode filters add to all-mode population within rounding","1","2","pass","high"
"basel","No modes gives zero population change","0","0","pass","high"
"basel","foreignInbound rows conserve mapped summary","35367","35367","pass","high"
"basel","foreignInbound population scope matches summary","35367","35367","pass","high"
"basel","swissInbound rows conserve mapped summary","63516","63516","pass","high"
"basel","swissInbound population scope matches summary","69635","69635","pass","high"
"basel","swissOutbound rows conserve mapped summary","19562","19562","pass","high"
"basel","swissOutbound population scope matches summary","24985","24985","pass","high"
"basel","Original resident mode counts are available","true","true","pass","high"
"basel","FSO 2023 car share copied accurately","0.14754426042261565","0.14754426042261565","pass","high"
"basel","FSO 2023 transit share copied accurately","0.466747572815534","0.466747572815534","pass","high"
"basel","FSO 2023 soft share copied accurately","0.3857081667618504","0.3857081667618504","pass","high"
"basel","Original border-worker total is available","true","true","pass","high"
"basel","FSO Q4 2025 border-worker total rounded correctly","35367","35367","pass","high"
"basel","car inbound uses domestic-worker benchmark within per-pair rounding","19674","19689.96","pass","high"
"basel","transit inbound uses domestic-worker benchmark within per-pair rounding","35592","35568.96","pass","high"
"basel","soft inbound uses domestic-worker benchmark within per-pair rounding","8250","8257.08","pass","high"
"basel","Original FSO 2020 inbound total","69635","69635","pass","high"
"basel","Every mapped FSO inbound pair matches original","0","0","pass","high"
"basel","Original FSO 2020 outbound total","24985","24985","pass","high"
"basel","Every mapped FSO outbound pair matches original","0","0","pass","high"
"basel","Population follows the routed departure and arrival model","0","0","pass","high"
"basel","No nonlocal active journeys affect the chart","0","0","pass","high"
"lausanne","Unique corridor keys","0","0","pass","high"
"lausanne","Valid corridor values","0","0","pass","high"
"lausanne","Corridor count agrees with summary","1968","1968","pass","high"
"lausanne","car cache references current corridors","0","0","pass","medium"
"lausanne","rail cache references current corridors","0","0","pass","medium"
"lausanne","active cache references current corridors","0","0","pass","medium"
"lausanne","Route geometry and travel times","0","0","pass","high"
"lausanne","Route endpoint snap within review threshold","0","0","pass","medium"
"lausanne","Rail edge and station integrity","0","0","pass","high"
"lausanne","Car coverage inbound at least 95% of mapped estimates","95.0593403711232","95","pass","high"
"lausanne","Car coverage outbound at least 95% of mapped estimates","95.03511350645108","95","pass","high"
"lausanne","Mode filters add to all-mode population within rounding","1","2","pass","high"
"lausanne","No modes gives zero population change","0","0","pass","high"
"lausanne","foreignInbound rows conserve mapped summary","8782","8782","pass","high"
"lausanne","foreignInbound population scope matches summary","8782","8782","pass","high"
"lausanne","swissInbound rows conserve mapped summary","59396","59396","pass","high"
"lausanne","swissInbound population scope matches summary","61593","61593","pass","high"
"lausanne","swissOutbound rows conserve mapped summary","25567","25567","pass","high"
"lausanne","swissOutbound population scope matches summary","26589","26589","pass","high"
"lausanne","Original resident mode counts are available","true","true","pass","high"
"lausanne","FSO 2023 car share copied accurately","0.2388556566970091","0.2388556566970091","pass","high"
"lausanne","FSO 2023 transit share copied accurately","0.537997399219766","0.537997399219766","pass","high"
"lausanne","FSO 2023 soft share copied accurately","0.22314694408322497","0.22314694408322497","pass","high"
"lausanne","Original border-worker total is available","true","true","pass","high"
"lausanne","FSO Q4 2025 border-worker total rounded correctly","8782","8782","pass","high"
"lausanne","Original FSO 2020 inbound total","61593","61593","pass","high"
"lausanne","Every mapped FSO inbound pair matches original","0","0","pass","high"
"lausanne","Original FSO 2020 outbound total","26589","26589","pass","high"
"lausanne","Every mapped FSO outbound pair matches original","0","0","pass","high"
"lausanne","Population follows the routed departure and arrival model","0","0","pass","high"
"lausanne","No nonlocal active journeys affect the chart","0","0","pass","high"
"bern","Unique corridor keys","0","0","pass","high"
"bern","Valid corridor values","0","0","pass","high"
"bern","Corridor count agrees with summary","2665","2665","pass","high"
"bern","car cache references current corridors","0","0","pass","medium"
"bern","rail cache references current corridors","0","0","pass","medium"
"bern","active cache references current corridors","0","0","pass","medium"
"bern","Route geometry and travel times","0","0","pass","high"
"bern","Route endpoint snap within review threshold","0","0","pass","medium"
"bern","Rail edge and station integrity","0","0","pass","high"
"bern","Car coverage inbound at least 95% of mapped estimates","95.62016825829923","95","pass","high"
"bern","Car coverage outbound at least 95% of mapped estimates","95.3458186538105","95","pass","high"
"bern","Mode filters add to all-mode population within rounding","1","2","pass","high"
"bern","No modes gives zero population change","0","0","pass","high"
"bern","foreignInbound rows conserve mapped summary","593","593","pass","high"
"bern","foreignInbound population scope matches summary","593","593","pass","high"
"bern","swissInbound rows conserve mapped summary","99175","99175","pass","high"
"bern","swissInbound population scope matches summary","106124","106124","pass","high"
"bern","swissOutbound rows conserve mapped summary","17906","17906","pass","high"
"bern","swissOutbound population scope matches summary","21725","21725","pass","high"
"bern","Original resident mode counts are available","true","true","pass","high"
"bern","FSO 2023 car share copied accurately","0.1605560922890501","0.1605560922890501","pass","high"
"bern","FSO 2023 transit share copied accurately","0.5330527763677152","0.5330527763677152","pass","high"
"bern","FSO 2023 soft share copied accurately","0.3063911313432347","0.3063911313432347","pass","high"
"bern","Original border-worker total is available","true","true","pass","high"
"bern","FSO Q4 2025 border-worker total rounded correctly","593","593","pass","high"
"bern","car inbound uses domestic-worker benchmark within per-pair rounding","35089","35061.868686868685","pass","high"
"bern","transit inbound uses domestic-worker benchmark within per-pair rounding","58107","58102.52525252525","pass","high"
"bern","soft inbound uses domestic-worker benchmark within per-pair rounding","5979","6010.606060606061","pass","high"
"bern","Original FSO 2020 inbound total","106124","106124","pass","high"
"bern","Every mapped FSO inbound pair matches original","0","0","pass","high"
"bern","Original FSO 2020 outbound total","21725","21725","pass","high"
"bern","Every mapped FSO outbound pair matches original","0","0","pass","high"
"bern","Population follows the routed departure and arrival model","0","0","pass","high"
"bern","No nonlocal active journeys affect the chart","0","0","pass","high"
"winterthur","Unique corridor keys","0","0","pass","high"
"winterthur","Valid corridor values","0","0","pass","high"
"winterthur","Corridor count agrees with summary","1594","1594","pass","high"
"winterthur","car cache references current corridors","0","0","pass","medium"
"winterthur","rail cache references current corridors","0","0","pass","medium"
"winterthur","active cache references current corridors","0","0","pass","medium"
"winterthur","Route geometry and travel times","0","0","pass","high"
"winterthur","Route endpoint snap within review threshold","0","0","pass","medium"
"winterthur","Rail edge and station integrity","0","0","pass","high"
"winterthur","Car coverage inbound at least 95% of mapped estimates","95.51018105928141","95","pass","high"
"winterthur","Car coverage outbound at least 95% of mapped estimates","95.03440023930601","95","pass","high"
"winterthur","Mode filters add to all-mode population within rounding","1","2","pass","high"
"winterthur","No modes gives zero population change","0","0","pass","high"
"winterthur","foreignInbound rows conserve mapped summary","1148","1148","pass","high"
"winterthur","foreignInbound population scope matches summary","1148","1148","pass","high"
"winterthur","swissInbound rows conserve mapped summary","35414","35414","pass","high"
"winterthur","swissInbound population scope matches summary","36580","36580","pass","high"
"winterthur","swissOutbound rows conserve mapped summary","29655","29655","pass","high"
"winterthur","swissOutbound population scope matches summary","30590","30590","pass","high"
"winterthur","Original resident mode counts are available","true","true","pass","high"
"winterthur","FSO 2023 car share copied accurately","0.308175333780406","0.308175333780406","pass","high"
"winterthur","FSO 2023 transit share copied accurately","0.4697514682273568","0.4697514682273568","pass","high"
"winterthur","FSO 2023 soft share copied accurately","0.22207319799223718","0.22207319799223718","pass","high"
"winterthur","Original border-worker total is available","true","true","pass","high"
"winterthur","FSO Q4 2025 border-worker total rounded correctly","1148","1148","pass","high"
"winterthur","car inbound uses domestic-worker benchmark within per-pair rounding","17377","17352.86","pass","high"
"winterthur","transit inbound uses domestic-worker benchmark within per-pair rounding","16280","16290.44","pass","high"
