"city","name","rows","odPairs","internalPeople","mappedPeople","carPeople","carNow0745","carNow1200","peakCarNow","peakPopulation","dailyAverage","populationCarDisagreement","disagreementMinute","carCacheDate","railCacheDate","activeCacheDate","activeSkippedPairs"
"zurich","Zürich","2921","1075","0","297828","86144","16345","0","16697","141750","52701","0","1440","2026-09-06T18:56:11.809Z","2026-09-06T18:59:41.901Z","2026-09-06T18:56:47.373Z","5"
"geneva","Geneva","5886","3387","0","145715","104193","21382","0","21394","109549","42631","0","1440","2026-09-06T18:56:11.941Z","2026-09-06T18:59:41.945Z","2026-09-06T19:00:32.218Z","4"
"basel","Basel","1269","423","0","118445","30953","4364","0","4441","50561","19473","0","1440","2026-09-06T18:56:12.067Z","2026-09-06T18:59:42.110Z","2026-09-06T19:00:33.422Z","0"
"lausanne","Lausanne","1968","656","0","93745","36625","6005","0","6005","32183","11723","0","1440","2026-09-06T18:56:12.093Z","2026-09-06T18:59:42.125Z","2026-09-06T19:00:48.839Z","3"
"bern","Bern","2665","936","0","117674","40577","6239","2","6239","65795","25132","0","1440","2026-09-06T18:56:13.537Z","2026-09-06T18:59:42.156Z","2026-09-06T19:00:50.108Z","0"
"winterthur","Winterthur","1594","594","0","66217","27758","4363","0","4368","3691","134","0","1440","2026-09-06T18:56:14.813Z","2026-09-06T18:59:42.195Z","2026-09-06T19:00:59.840Z","2"
"lucerne","Lucerne","1697","588","0","58141","25566","3645","0","3746","17381","6149","0","1440","2026-09-06T18:56:14.832Z","2026-09-06T18:59:42.218Z","2026-09-06T19:00:59.868Z","2"
"st-gallen","St. Gallen","1208","477","0","60070","33256","4398","0","4412","28644","10853","0","1440","2026-09-06T18:56:17.468Z","2026-09-06T18:59:42.240Z","2026-09-06T19:01:01.521Z","10"
"lugano","Lugano","588","196","0","40959","21245","4182","0","4202","18828","6972","0","1440","2026-09-06T18:56:17.481Z","2026-09-06T18:59:42.262Z","2026-09-06T19:01:01.532Z","8"
"biel-bienne","Biel/Bienne","1385","462","0","31250","13961","2075","3","2081","9743","3453","0","1440","2026-09-06T18:56:17.649Z","2026-09-06T18:59:42.270Z","2026-09-06T19:01:17.328Z","12"
"schaffhausen","Schaffhausen","672","224","0","19512","9210","1061","0","1066","6490","2395","0","1440","2026-09-06T18:56:17.739Z","2026-09-06T18:59:42.290Z","2026-09-06T19:01:19.264Z","1"
"la-chaux-de-fonds","La Chaux-de-Fonds","453","151","0","17250","9220","1695","0","1745","5748","1989","0","1440","2026-09-06T18:56:17.782Z","2026-09-06T18:59:42.299Z","2026-09-06T19:01:20.457Z","2"
"chiasso","Chiasso","261","87","0","9129","4350","871","0","877","4970","1879","0","1440","2026-09-06T18:56:17.786Z","2026-09-06T18:59:42.307Z","2026-09-06T19:01:43.497Z","1"
"mendrisio","Mendrisio","339","113","0","16245","9585","1956","0","1965","8718","3290","0","1440","2026-09-06T18:56:17.789Z","2026-09-06T18:59:42.312Z","2026-09-06T19:01:59.771Z","2"
"zug","Zug","1399","467","0","35569","15666","2227","0","2242","15881","5912","0","1440","2026-09-06T18:56:17.799Z","2026-09-06T18:59:42.317Z","2026-09-06T19:03:31.562Z","4"
"neuchatel","Neuchâtel","864","288","0","26583","12641","2050","2","2085","8531","3019","0","1440","2026-09-06T18:56:17.858Z","2026-09-06T18:59:42.338Z","2026-09-06T19:03:53.169Z","5"
