"origin","target","mode","originPage","targetPage","delta"
"zurich","winterthur","all","3374","3374","0"
"zurich","winterthur","car","1653","1653","0"
"zurich","winterthur","transit","1552","1552","0"
"zurich","winterthur","soft","169","169","0"
"zurich","lucerne","all","1274","1274","0"
"zurich","lucerne","car","566","566","0"
"zurich","lucerne","transit","592","592","0"
"zurich","lucerne","soft","116","116","0"
"zurich","zug","all","2518","2518","0"
"zurich","zug","car","780","780","0"
"zurich","zug","transit","1637","1637","0"
"zurich","zug","soft","101","101","0"
"lausanne","neuchatel","all","304","304","0"
"lausanne","neuchatel","car","73","73","0"
"lausanne","neuchatel","transit","163","163","0"
"lausanne","neuchatel","soft","68","68","0"
"bern","biel-bienne","all","595","595","0"
"bern","biel-bienne","car","179","179","0"
"bern","biel-bienne","transit","357","357","0"
"bern","biel-bienne","soft","59","59","0"
"bern","la-chaux-de-fonds","all","8","8","0"
"bern","la-chaux-de-fonds","car","2","2","0"
"bern","la-chaux-de-fonds","transit","5","5","0"
"bern","la-chaux-de-fonds","soft","1","1","0"
"bern","neuchatel","all","125","125","0"
"bern","neuchatel","car","38","38","0"
"bern","neuchatel","transit","75","75","0"
"bern","neuchatel","soft","12","12","0"
"winterthur","zurich","all","11129","11129","0"
"winterthur","zurich","car","3148","3148","0"
"winterthur","zurich","transit","7756","7756","0"
"winterthur","zurich","soft","225","225","0"
"winterthur","st-gallen","all","695","695","0"
"winterthur","st-gallen","car","389","389","0"
"winterthur","st-gallen","transit","292","292","0"
"winterthur","st-gallen","soft","14","14","0"
"winterthur","schaffhausen","all","392","392","0"
"winterthur","schaffhausen","car","143","143","0"
"winterthur","schaffhausen","transit","241","241","0"
"winterthur","schaffhausen","soft","8","8","0"
"winterthur","zug","all","126","126","0"
"winterthur","zug","car","46","46","0"
"winterthur","zug","transit","78","78","0"
"winterthur","zug","soft","2","2","0"
"lucerne","zurich","all","1756","1756","0"
"lucerne","zurich","car","497","497","0"
"lucerne","zurich","transit","1224","1224","0"
"lucerne","zurich","soft","35","35","0"
"lucerne","zug","all","1055","1055","0"
"lucerne","zug","car","475","475","0"
"lucerne","zug","transit","506","506","0"
"lucerne","zug","soft","74","74","0"
"st-gallen","winterthur","all","419","419","0"
"st-gallen","winterthur","car","205","205","0"
"st-gallen","winterthur","transit","193","193","0"
"st-gallen","winterthur","soft","21","21","0"
"st-gallen","zug","all","33","33","0"
"st-gallen","zug","car","19","19","0"
"st-gallen","zug","transit","13","13","0"
"st-gallen","zug","soft","1","1","0"
"biel-bienne","bern","all","1337","1337","0"
"biel-bienne","bern","car","473","473","0"
"biel-bienne","bern","transit","783","783","0"
"biel-bienne","bern","soft","81","81","0"
"biel-bienne","la-chaux-de-fonds","all","83","83","0"
"biel-bienne","la-chaux-de-fonds","car","27","27","0"
"biel-bienne","la-chaux-de-fonds","transit","34","34","0"
"biel-bienne","la-chaux-de-fonds","soft","22","22","0"
"biel-bienne","neuchatel","all","469","469","0"
"biel-bienne","neuchatel","car","153","153","0"
"biel-bienne","neuchatel","transit","194","194","0"
"biel-bienne","neuchatel","soft","122","122","0"
"schaffhausen","winterthur","all","763","763","0"
"schaffhausen","winterthur","car","374","374","0"
"schaffhausen","winterthur","transit","351","351","0"
"schaffhausen","winterthur","soft","38","38","0"
"la-chaux-de-fonds","bern","all","69","69","0"
"la-chaux-de-fonds","bern","car","24","24","0"
"la-chaux-de-fonds","bern","transit","41","41","0"
"la-chaux-de-fonds","bern","soft","4","4","0"
"la-chaux-de-fonds","biel-bienne","all","116","116","0"
"la-chaux-de-fonds","biel-bienne","car","64","64","0"
"la-chaux-de-fonds","biel-bienne","transit","31","31","0"
"la-chaux-de-fonds","biel-bienne","soft","21","21","0"
"la-chaux-de-fonds","neuchatel","all","1095","1095","0"
"la-chaux-de-fonds","neuchatel","car","601","601","0"
"la-chaux-de-fonds","neuchatel","transit","293","293","0"
"la-chaux-de-fonds","neuchatel","soft","201","201","0"
"chiasso","mendrisio","all","250","250","0"
"chiasso","mendrisio","car","114","114","0"
"chiasso","mendrisio","transit","73","73","0"
"chiasso","mendrisio","soft","63","63","0"
"mendrisio","chiasso","all","471","471","0"
"mendrisio","chiasso","car","286","286","0"
"mendrisio","chiasso","transit","99","99","0"
"mendrisio","chiasso","soft","86","86","0"
"zug","zurich","all","2060","2060","0"
"zug","zurich","car","583","583","0"
"zug","zurich","transit","1436","1436","0"
"zug","zurich","soft","41","41","0"
"zug","winterthur","all","23","23","0"
"zug","winterthur","car","11","11","0"
"zug","winterthur","transit","11","11","0"
"zug","winterthur","soft","1","1","0"
"zug","lucerne","all","349","349","0"
"zug","lucerne","car","155","155","0"
"zug","lucerne","transit","162","162","0"
"zug","lucerne","soft","32","32","0"
"zug","st-gallen","all","23","23","0"
"zug","st-gallen","car","13","13","0"
"zug","st-gallen","transit","10","10","0"
"zug","st-gallen","soft","0","0","0"
"neuchatel","lausanne","all","381","381","0"
"neuchatel","lausanne","car","163","163","0"
"neuchatel","lausanne","transit","150","150","0"
"neuchatel","lausanne","soft","68","68","0"
"neuchatel","bern","all","237","237","0"
"neuchatel","bern","car","84","84","0"
"neuchatel","bern","transit","139","139","0"
"neuchatel","bern","soft","14","14","0"
"neuchatel","biel-bienne","all","502","502","0"
"neuchatel","biel-bienne","car","215","215","0"
"neuchatel","biel-bienne","transit","197","197","0"
"neuchatel","biel-bienne","soft","90","90","0"
"neuchatel","la-chaux-de-fonds","all","984","984","0"
"neuchatel","la-chaux-de-fonds","car","422","422","0"
"neuchatel","la-chaux-de-fonds","transit","386","386","0"
