"city","mode","direction","people","covered","represented","coveragePct","pairs","routedPairs","eligiblePeople","localCoveragePct","longDistancePeople"
"zurich","car","inbound","66792","63919","63919","95.69858665708468","723","340","0","","15370"
"zurich","transit","inbound","165530","128539","128539","77.65299341509092","723","304","0","","38772"
"zurich","soft","inbound","5623","3542","3542","62.99128579050329","527","127","3760","94.20212765957447","1919"
"zurich","unknown","inbound","0","0","0","","0","0","0","","0"
"zurich","car","outbound","19352","18429","18429","95.23046713517982","352","142","0","","4230"
"zurich","transit","outbound","38042","33933","33933","89.19878029546291","352","212","0","","8243"
"zurich","soft","outbound","2489","1888","1888","75.8537565287264","244","67","2011","93.8836399801094","577"
"zurich","unknown","outbound","0","0","0","","0","0","0","","0"
"geneva","car","inbound","101753","96978","96978","95.30726366790168","3060","1917","0","","28919"
"geneva","transit","inbound","30915","27967","27967","90.46417596635938","1157","915","0","","10475"
"geneva","soft","inbound","6796","6227","6227","91.62742789876398","271","166","6563","94.88039006551882","212"
"geneva","unknown","inbound","729","0","0","0","305","0","0","","432"
"geneva","car","outbound","1920","1858","1858","96.77083333333333","241","210","0","","1245"
"geneva","transit","outbound","3252","3234","3234","99.44649446494465","241","236","0","","2103"
"geneva","soft","outbound","0","0","0","","0","0","0","","0"
"geneva","unknown","outbound","350","0","0","0","124","0","0","","224"
"basel","car","inbound","24891","23981","23981","96.34406010204492","297","135","0","","1926"
"basel","transit","inbound","52099","21622","21622","41.50175627171347","297","81","0","","3807"
"basel","soft","inbound","21893","19593","19593","89.49435892751107","297","50","20607","95.07934197117484","1286"
"basel","unknown","inbound","0","0","0","","0","0","0","","0"
"basel","car","outbound","6062","5762","5762","95.05113823820521","126","47","0","","500"
"basel","transit","outbound","10948","6644","6644","60.68688344903179","126","53","0","","899"
"basel","soft","outbound","2552","2229","2229","87.34326018808777","126","28","2338","95.33789563729684","214"
"basel","unknown","outbound","0","0","0","","0","0","0","","0"
"lausanne","car","inbound","30644","29164","29164","95.17034329721969","468","262","0","","7112"
"lausanne","transit","inbound","22829","13126","13126","57.497043234482454","468","135","0","","5829"
"lausanne","soft","inbound","14574","9414","9414","64.5944833264718","439","109","11126","84.61261909041883","3395"
"lausanne","unknown","inbound","131","0","0","0","25","0","0","","131"
"lausanne","car","outbound","6603","6284","6284","95.16886263819475","188","85","0","","1952"
"lausanne","transit","outbound","13847","9348","9348","67.50920777063624","188","87","0","","3381"
"lausanne","soft","outbound","5006","4121","4121","82.32121454254894","170","47","4328","95.21719038817005","673"
"lausanne","unknown","outbound","111","0","0","0","13","0","0","","111"
"bern","car","inbound","35184","33643","33643","95.62016825829923","706","362","0","","10198"
"bern","transit","inbound","58423","44010","44010","75.32992143505126","706","268","0","","17018"
"bern","soft","inbound","6161","4086","4086","66.32040253205649","586","111","4301","95.00116252034411","1878"
"bern","unknown","inbound","0","0","0","","0","0","0","","0"
"bern","car","outbound","5393","5142","5142","95.3458186538105","230","128","0","","1614"
"bern","transit","outbound","10723","9601","9601","89.53651030495197","230","144","0","","3180"
"bern","soft","outbound","1790","1201","1201","67.09497206703911","207","51","1262","95.16640253565768","533"
"bern","unknown","outbound","0","0","0","","0","0","0","","0"
"winterthur","car","inbound","17729","16933","16933","95.51018105928141","361","214","0","","3493"
"winterthur","transit","inbound","16820","12703","12703","75.5231866825208","361","191","0","","3452"
"winterthur","soft","inbound","2013","1430","1430","71.03825136612022","287","109","1509","94.76474486414844","544"
"winterthur","unknown","inbound","0","0","0","","0","0","0","","0"
"winterthur","car","outbound","10029","9531","9531","95.03440023930601","233","115","0","","1570"
"winterthur","transit","outbound","19039","17348","17348","91.11823099952728","233","146","0","","2292"
"winterthur","soft","outbound","587","496","496","84.49744463373084","119","55","523","94.83747609942638","70"
"winterthur","unknown","outbound","0","0","0","","0","0","0","","0"
"lucerne","car","inbound","17652","16902","16902","95.75118966689327","395","192","0","","3371"
"lucerne","transit","inbound","18501","14393","14393","77.79579482190152","395","199","0","","3570"
"lucerne","soft","inbound","3699","2797","2797","75.61503108948365","374","64","2958","94.55713319810683","772"
"lucerne","unknown","inbound","0","0","0","","0","0","0","","0"
"lucerne","car","outbound","7914","7542","7542","95.2994692949204","193","100","0","","1630"
"lucerne","transit","outbound","9180","8232","8232","89.67320261437908","193","128","0","","2483"
"lucerne","soft","outbound","1195","937","937","78.41004184100419","147","43","986","95.03042596348884","214"
"lucerne","unknown","outbound","0","0","0","","0","0","0","","0"
"st-gallen","car","inbound","26337","25049","25049","95.10954170938224","318","145","0","","5425"
"st-gallen","transit","inbound","19924","14284","14284","71.69243123870709","318","184","0","","4227"
"st-gallen","soft","inbound","1258","696","696","55.32591414944356","168","65","792","87.87878787878788","486"
"st-gallen","unknown","inbound","0","0","0","","0","0","0","","0"
"st-gallen","car","outbound","6919","6588","6588","95.21607168665992","159","96","0","","1634"
"st-gallen","transit","outbound","5270","4539","4539","86.12903225806451","159","105","0","","1562"
"st-gallen","soft","outbound","362","258","258","71.2707182320442","86","41","284","90.84507042253522","89"
"st-gallen","unknown","outbound","0","0","0","","0","0","0","","0"
"lugano","car","inbound","17576","16704","16704","95.03868912152936","120","71","0","","352"
"lugano","transit","inbound","8025","1868","1868","23.277258566978194","120","27","0","","151"
"lugano","soft","inbound","8227","6257","6257","76.05445484380698","120","63","7491","83.52689894540114","172"
"lugano","unknown","inbound","0","0","0","","0","0","0","","0"
"lugano","car","outbound","3669","3491","3491","95.14854183701281","76","45","0","","123"
"lugano","transit","outbound","1800","1038","1038","57.666666666666664","76","28","0","","61"
"lugano","soft","outbound","1662","1472","1472","88.56799037304452","76","34","1623","90.6962415280345","56"
"lugano","unknown","outbound","0","0","0","","0","0","0","","0"
"biel-bienne","car","inbound","10744","10231","10231","95.22524199553239","293","177","0","","1695"
"biel-bienne","transit","inbound","5569","3481","3481","62.50673370443527","293","137","0","","1176"
"biel-bienne","soft","inbound","5200","3919","3919","75.36538461538461","292","86","4293","91.28814348940135","861"
"biel-bienne","unknown","inbound","0","0","0","","0","0","0","","0"
"biel-bienne","car","outbound","3217","3061","3061","95.15076157911098","169","108","0","","613"
"biel-bienne","transit","outbound","4265","3221","3221","75.52168815943728","169","103","0","","783"
"biel-bienne","soft","outbound","2255","1606","1606","71.21951219512195","169","61","1709","93.97308367466354","475"
"biel-bienne","unknown","outbound","0","0","0","","0","0","0","","0"
"schaffhausen","car","inbound","6816","6477","6477","95.02640845070422","132","69","0","","283"
"schaffhausen","transit","inbound","3972","1986","1986","50","132","59","0","","196"
"schaffhausen","soft","inbound","3161","2861","2861","90.50933248971845","132","57","3008","95.11303191489361","128"
"schaffhausen","unknown","inbound","0","0","0","","0","0","0","","0"
"schaffhausen","car","outbound","2394","2277","2277","95.11278195488721","92","56","0","","355"
"schaffhausen","transit","outbound","2205","1823","1823","82.67573696145125","92","55","0","","328"
