"city","minute","carNow","transitNow","activeNow","populationChange","vsDailyAverage","routeDerivedCarPopulation","curveCarPopulationSameCoverage"
"zurich","0","0","0","0","0","-52701","0","0"
"zurich","5","0","0","0","0","-52701","0","0"
"zurich","10","0","0","0","0","-52701","0","0"
"zurich","15","0","0","0","0","-52701","0","0"
"zurich","20","0","0","0","0","-52701","0","0"
"zurich","25","0","0","0","0","-52701","0","0"
"zurich","30","0","0","0","0","-52701","0","0"
"zurich","35","0","0","0","0","-52701","0","0"
"zurich","40","0","0","0","0","-52701","0","0"
"zurich","45","0","0","0","0","-52701","0","0"
"zurich","50","0","0","0","0","-52701","0","0"
"zurich","55","0","0","0","0","-52701","0","0"
"zurich","60","0","0","0","0","-52701","0","0"
"zurich","65","0","0","0","0","-52701","0","0"
"zurich","70","0","0","0","0","-52701","0","0"
"zurich","75","0","0","0","0","-52701","0","0"
"zurich","80","0","0","0","0","-52701","0","0"
"zurich","85","0","0","0","0","-52701","0","0"
"zurich","90","0","0","0","0","-52701","0","0"
"zurich","95","0","0","0","0","-52701","0","0"
"zurich","100","0","0","0","0","-52701","0","0"
"zurich","105","0","0","0","0","-52701","0","0"
"zurich","110","0","0","0","0","-52701","0","0"
"zurich","115","0","0","0","0","-52701","0","0"
"zurich","120","0","0","0","0","-52701","0","0"
"zurich","125","0","0","0","0","-52701","0","0"
"zurich","130","0","0","0","0","-52701","0","0"
"zurich","135","0","0","0","0","-52701","0","0"
"zurich","140","0","0","0","0","-52701","0","0"
"zurich","145","0","0","0","0","-52701","0","0"
"zurich","150","0","0","0","0","-52701","0","0"
"zurich","155","0","0","0","0","-52701","0","0"
"zurich","160","0","0","0","0","-52701","0","0"
"zurich","165","0","0","0","0","-52701","0","0"
"zurich","170","0","0","0","0","-52701","0","0"
"zurich","175","0","0","0","0","-52701","0","0"
"zurich","180","0","0","0","0","-52701","0","0"
"zurich","185","0","0","0","0","-52701","0","0"
"zurich","190","0","0","0","0","-52701","0","0"
"zurich","195","0","0","0","0","-52701","0","0"
"zurich","200","0","0","0","0","-52701","0","0"
"zurich","205","0","0","0","0","-52701","0","0"
"zurich","210","0","0","0","0","-52701","0","0"
"zurich","215","0","0","0","0","-52701","0","0"
"zurich","220","0","0","0","0","-52701","0","0"
"zurich","225","0","0","0","0","-52701","0","0"
"zurich","230","0","0","0","0","-52701","0","0"
"zurich","235","0","0","0","0","-52701","0","0"
