"city","check","actual","expected","status","severity"
"zurich","Unique corridor keys","0","0","pass","high"
"zurich","Valid corridor values","0","0","pass","high"
"zurich","Corridor count agrees with summary","3225","3225","pass","high"
"zurich","car cache references current corridors","0","0","pass","medium"
"zurich","rail cache references current corridors","0","0","pass","medium"
"zurich","active cache references current corridors","0","0","pass","medium"
"zurich","Route geometry and travel times","0","0","pass","high"
"zurich","Route endpoint snap within review threshold","1","0","fail","medium"
"zurich","Rail edge and station integrity","0","0","pass","high"
"zurich","Car coverage inbound at least 95% of mapped estimates","95.00205044084478","95","pass","high"
"zurich","Car coverage outbound at least 95% of mapped estimates","95.05041246562786","95","pass","high"
"zurich","Mode filters add to all-mode population within rounding","1","2","pass","high"
"zurich","No modes gives zero population change","0","0","pass","high"
"zurich","foreignInbound rows conserve mapped summary","4278","4278","pass","high"
"zurich","foreignInbound population scope matches summary","4278","4278","pass","high"
"zurich","swissInbound rows conserve mapped summary","233667","233667","pass","high"
"zurich","swissInbound population scope matches summary","244783","244783","pass","high"
"zurich","swissOutbound rows conserve mapped summary","59883","59883","pass","high"
"zurich","swissOutbound population scope matches summary","65738","65738","pass","high"
"zurich","FSO 2023 car share copied accurately","0.16403987917299234","0.16403987917299234","pass","high"
"zurich","FSO 2023 transit share copied accurately","0.6186958404415716","0.6186958404415716","pass","high"
"zurich","FSO 2023 soft share copied accurately","0.21726428038543608","0.21726428038543608","pass","high"
"zurich","FSO Q4 2025 border-worker total rounded correctly","4278","4278","pass","high"
"zurich","Original FSO 2020 inbound total","244783","244783","pass","high"
"zurich","Every mapped FSO inbound pair matches original","0","0","pass","high"
"zurich","Original FSO 2020 outbound total","65738","65738","pass","high"
"zurich","Every mapped FSO outbound pair matches original","0","0","pass","high"
"geneva","Unique corridor keys","0","0","pass","high"
"geneva","Valid corridor values","0","0","pass","high"
"geneva","Corridor count agrees with summary","1443","1443","pass","high"
"geneva","car cache references current corridors","0","0","pass","medium"
"geneva","rail cache references current corridors","0","0","pass","medium"
"geneva","active cache references current corridors","0","0","pass","medium"
"geneva","Route geometry and travel times","0","0","pass","high"
"geneva","Route endpoint snap within review threshold","0","0","pass","medium"
"geneva","Rail edge and station integrity","0","0","pass","high"
"geneva","Car coverage inbound at least 95% of mapped estimates","95.01097147416716","95","pass","high"
"geneva","Car coverage outbound at least 95% of mapped estimates","95.10421715947649","95","pass","high"
"geneva","Mode filters add to all-mode population within rounding","1","2","pass","high"
"geneva","No modes gives zero population change","0","0","pass","high"
"geneva","foreignInbound rows conserve mapped summary","119003","119003","pass","high"
"geneva","foreignInbound population scope matches summary","119003","119003","pass","high"
"geneva","swissInbound rows conserve mapped summary","23398","23398","pass","high"
"geneva","swissInbound population scope matches summary","23398","23398","pass","high"
"geneva","swissOutbound rows conserve mapped summary","6881","6881","pass","high"
"geneva","swissOutbound population scope matches summary","8703","6881","fail","high"
"basel","Unique corridor keys","0","0","pass","high"
"basel","Valid corridor values","0","0","pass","high"
"basel","Corridor count agrees with summary","1269","1269","pass","high"
"basel","car cache references current corridors","0","0","pass","medium"
"basel","rail cache references current corridors","0","0","pass","medium"
"basel","active cache references current corridors","0","0","pass","medium"
"basel","Route geometry and travel times","0","0","pass","high"
"basel","Route endpoint snap within review threshold","0","0","pass","medium"
"basel","Rail edge and station integrity","0","0","pass","high"
"basel","Car coverage inbound at least 95% of mapped estimates","95.01750051472102","95","pass","high"
"basel","Car coverage outbound at least 95% of mapped estimates","95.00520291363163","95","pass","high"
"basel","Mode filters add to all-mode population within rounding","1","2","pass","high"
"basel","No modes gives zero population change","0","0","pass","high"
"basel","foreignInbound rows conserve mapped summary","35367","35367","pass","high"
"basel","foreignInbound population scope matches summary","35367","35367","pass","high"
"basel","swissInbound rows conserve mapped summary","63516","63516","pass","high"
"basel","swissInbound population scope matches summary","69635","69635","pass","high"
"basel","swissOutbound rows conserve mapped summary","19562","19562","pass","high"
"basel","swissOutbound population scope matches summary","24985","24985","pass","high"
"basel","FSO 2023 car share copied accurately","0.14754426042261565","0.14754426042261565","pass","high"
"basel","FSO 2023 transit share copied accurately","0.466747572815534","0.466747572815534","pass","high"
"basel","FSO 2023 soft share copied accurately","0.3857081667618504","0.3857081667618504","pass","high"
"basel","FSO Q4 2025 border-worker total rounded correctly","35367","35367","pass","high"
"basel","Original FSO 2020 inbound total","69635","69635","pass","high"
"basel","Every mapped FSO inbound pair matches original","0","0","pass","high"
"basel","Original FSO 2020 outbound total","24985","24985","pass","high"
"basel","Every mapped FSO outbound pair matches original","0","0","pass","high"
"lausanne","Unique corridor keys","0","0","pass","high"
"lausanne","Valid corridor values","0","0","pass","high"
"lausanne","Corridor count agrees with summary","1974","1974","pass","high"
"lausanne","car cache references current corridors","0","0","pass","medium"
"lausanne","rail cache references current corridors","0","0","pass","medium"
"lausanne","active cache references current corridors","0","0","pass","medium"
"lausanne","Route geometry and travel times","0","0","pass","high"
"lausanne","Route endpoint snap within review threshold","0","0","pass","medium"
"lausanne","Rail edge and station integrity","0","0","pass","high"
"lausanne","Car coverage inbound at least 95% of mapped estimates","95.03250337299154","95","pass","high"
"lausanne","Car coverage outbound at least 95% of mapped estimates","95.03511350645108","95","pass","high"
"lausanne","Mode filters add to all-mode population within rounding","1","2","pass","high"
"lausanne","No modes gives zero population change","0","0","pass","high"
"lausanne","foreignInbound rows conserve mapped summary","8782","8782","pass","high"
"lausanne","foreignInbound population scope matches summary","8782","8782","pass","high"
"lausanne","swissInbound rows conserve mapped summary","59396","59396","pass","high"
"lausanne","swissInbound population scope matches summary","61593","61593","pass","high"
"lausanne","swissOutbound rows conserve mapped summary","25567","25567","pass","high"
"lausanne","swissOutbound population scope matches summary","26589","26589","pass","high"
"lausanne","FSO 2023 car share copied accurately","0.2388556566970091","0.2388556566970091","pass","high"
"lausanne","FSO 2023 transit share copied accurately","0.537997399219766","0.537997399219766","pass","high"
"lausanne","FSO 2023 soft share copied accurately","0.22314694408322497","0.22314694408322497","pass","high"
"lausanne","FSO Q4 2025 border-worker total rounded correctly","8782","8782","pass","high"
