"city","name","rows","odPairs","internalPeople","mappedPeople","carPeople","carNow0745","carNow1200","peakCarNow","peakPopulation","dailyAverage","populationCarDisagreement","disagreementMinute","carCacheDate","railCacheDate","activeCacheDate","activeSkippedPairs"
"zurich","Zürich","3225","1075","0","297828","48835","9228","0","9435","181867","74089","5861","455","2026-09-05T15:17:33.509Z","2026-09-06T05:08:42.916Z","2026-09-05T21:34:56.749Z","5"
"geneva","Geneva","1443","656","0","149282","102323","20695","0","20695","133412","55878","27790","460","2026-09-05T07:12:42.786Z","2026-09-06T05:08:42.961Z","2026-09-05T21:35:40.120Z","0"
"basel","Basel","1269","423","0","118445","17454","2488","0","2535","79501","32559","2040","450","2026-09-05T15:16:21.825Z","2026-09-06T05:08:42.978Z","2026-09-05T21:36:16.239Z","0"
"lausanne","Lausanne","1974","658","0","93745","22429","3848","0","3848","43450","17788","2481","460","2026-09-05T15:16:21.853Z","2026-09-06T05:08:42.991Z","2026-09-05T21:37:25.024Z","3"
"bern","Bern","2814","938","0","117674","18896","2886","2","2886","84324","34309","1897","445","2026-09-05T15:17:33.558Z","2026-09-06T05:08:43.022Z","2026-09-05T21:39:53.537Z","0"
"winterthur","Winterthur","1782","594","0","66217","20413","3260","0","3276","7076","2989","2079","1065","2026-09-05T15:17:33.597Z","2026-09-06T05:08:43.062Z","2026-09-05T21:41:27.276Z","1"
"lucerne","Lucerne","1764","588","0","58141","16651","2398","0","2465","21786","8918","1084","450","2026-09-05T15:17:33.627Z","2026-09-06T05:08:43.084Z","2026-09-05T21:42:24.301Z","2"
"st-gallen","St. Gallen","1431","477","0","60070","23388","3154","0","3161","35291","14382","1889","445","2026-09-05T15:16:58.791Z","2026-09-06T05:08:43.107Z","2026-09-05T21:43:13.061Z","11"
"lugano","Lugano","588","196","0","40959","21084","4158","0","4179","26544","10746","3388","465","2026-09-05T15:17:33.486Z","2026-09-06T05:08:43.126Z","2026-09-05T21:43:51.070Z","8"
"biel-bienne","Biel/Bienne","1401","467","0","31250","10202","1568","3","1571","11720","4802","850","455","2026-09-05T15:17:33.824Z","2026-09-06T05:08:43.135Z","2026-09-05T21:45:32.035Z","10"
"schaffhausen","Schaffhausen","672","224","0","19512","8228","968","0","971","7729","3170","564","450","2026-09-05T15:15:59.113Z","2026-09-06T05:08:43.155Z","2026-09-05T21:45:57.756Z","1"
"la-chaux-de-fonds","La Chaux-de-Fonds","471","157","0","17250","9474","1743","0","1793","7850","3188","1445","460","2026-09-05T15:16:20.639Z","2026-09-06T05:08:43.167Z","2026-09-05T21:46:27.473Z","3"
