"city","key","origin","originName","target","targetName","mode","direction","group","commuters","source","geometry","directKm","routeKm","seconds","snapKm","activeEligible","geometryErrors","skippedReason","representedPeople"
"zurich","zurich:CH4551>CH261:car:inbound","CH4551","Aadorf","CH261","Zürich","car","inbound","swissInbound","40","FSO commune matrix 2020","road","31.052665108941422","48.214274365294465","2607.825","0.017416883521975072","false","","",""
"zurich","zurich:CH4551>CH261:transit:inbound","CH4551","Aadorf","CH261","Zürich","transit","inbound","swissInbound","150","FSO commune matrix 2020","rail","31.052665108941422","41.741397689305394","","","false","","","150"
"zurich","zurich:CH4551>CH261:soft:inbound","CH4551","Aadorf","CH261","Zürich","soft","inbound","swissInbound","53","FSO commune matrix 2020","missing","31.052665108941422","","","","false","","",""
"zurich","zurich:CH4001>CH261:car:inbound","CH4001","Aarau","CH261","Zürich","car","inbound","swissInbound","222","FSO commune matrix 2020","road","35.56018643497173","44.75280010512302","2537.608","0.04802146675444967","false","","",""
"zurich","zurich:CH4001>CH261:transit:inbound","CH4001","Aarau","CH261","Zürich","transit","inbound","swissInbound","836","FSO commune matrix 2020","rail","35.56018643497173","41.6016285334138","","","false","","","836"
"zurich","zurich:CH4001>CH261:soft:inbound","CH4001","Aarau","CH261","Zürich","soft","inbound","swissInbound","293","FSO commune matrix 2020","missing","35.56018643497173","","","","false","","",""
"zurich","zurich:CH4271>CH261:car:inbound","CH4271","Aarburg","CH261","Zürich","car","inbound","swissInbound","25","FSO commune matrix 2020","road","47.980838173938515","59.19660155278964","3061.551","0.013513537049137424","false","","",""
"zurich","zurich:CH4271>CH261:transit:inbound","CH4271","Aarburg","CH261","Zürich","transit","inbound","swissInbound","93","FSO commune matrix 2020","rail","47.980838173938515","58.782535645907465","","","false","","","93"
"zurich","zurich:CH4271>CH261:soft:inbound","CH4271","Aarburg","CH261","Zürich","soft","inbound","swissInbound","32","FSO commune matrix 2020","missing","47.980838173938515","","","","false","","",""
"zurich","zurich:CH321>CH261:car:inbound","CH321","Aarwangen","CH261","Zürich","car","inbound","swissInbound","3","FSO commune matrix 2020","missing","60.788193526051","","","","false","","",""
"zurich","zurich:CH321>CH261:transit:inbound","CH321","Aarwangen","CH261","Zürich","transit","inbound","swissInbound","13","FSO commune matrix 2020","missing","60.788193526051","","","","false","","",""
"zurich","zurich:CH321>CH261:soft:inbound","CH321","Aarwangen","CH261","Zürich","soft","inbound","swissInbound","5","FSO commune matrix 2020","missing","60.788193526051","","","","false","","",""
"zurich","zurich:CH4221>CH261:car:inbound","CH4221","Abtwil","CH261","Zürich","car","inbound","swissInbound","4","FSO commune matrix 2020","missing","26.952354528992128","","","","false","","",""
"zurich","zurich:CH4221>CH261:transit:inbound","CH4221","Abtwil","CH261","Zürich","transit","inbound","swissInbound","14","FSO commune matrix 2020","missing","26.952354528992128","","","","false","","",""
"zurich","zurich:CH4221>CH261:soft:inbound","CH4221","Abtwil","CH261","Zürich","soft","inbound","swissInbound","5","FSO commune matrix 2020","missing","26.952354528992128","","","","false","","",""
