"city","mode","direction","people","covered","represented","coveragePct","pairs","routedPairs","eligiblePeople","localCoveragePct","longDistancePeople"
"zurich","car","inbound","39016","37066","37066","95.00205044084478","723","315","0","","9191"
"zurich","transit","inbound","147232","114098","114098","77.49538143881765","723","304","0","","34689"
"zurich","soft","inbound","51697","37818","37818","73.15318103565004","723","128","40115","94.27396235822012","12181"
"zurich","car","outbound","9819","9333","9333","95.05041246562786","352","142","0","","2142"
"zurich","transit","outbound","37053","33137","33137","89.43135508595795","352","212","0","","8073"
"zurich","soft","outbound","13011","10058","10058","77.30381984474676","352","67","10722","93.80712553628055","2835"
"geneva","car","inbound","100260","95258","95258","95.01097147416716","606","242","0","","27748"
"geneva","transit","inbound","34028","11841","11841","34.797813565299165","442","56","0","","12776"
"geneva","soft","inbound","8113","6798","6798","83.79144582768396","269","60","7154","95.02376292982946","954"
"geneva","car","outbound","2063","1962","1962","95.10421715947649","44","23","0","","1911"
"geneva","transit","outbound","4474","0","0","0","44","0","0","","4145"
"geneva","soft","outbound","344","0","0","0","38","0","0","","319"
"basel","car","inbound","14571","13845","13845","95.01750051472102","297","104","0","","1023"
"basel","transit","inbound","46167","18521","18521","40.11739987436914","297","81","0","","3283"
"basel","soft","inbound","38145","33666","33666","88.25796303578451","297","65","35432","95.01580492210431","2713"
"basel","car","outbound","2883","2739","2739","95.00520291363163","126","47","0","","237"
"basel","transit","outbound","9127","5540","5540","60.699024871261095","126","53","0","","752"
"basel","soft","outbound","7552","6583","6583","87.16896186440678","126","27","6928","95.02020785219399","624"
"lausanne","car","inbound","16306","15496","15496","95.03250337299154","470","251","0","","3950"
"lausanne","transit","inbound","36675","20015","20015","54.573960463531016","470","135","0","","8860"
"lausanne","soft","inbound","15197","9772","9772","64.3021649009673","470","103","11495","85.01087429317094","3657"
"lausanne","car","outbound","6123","5819","5819","95.03511350645108","188","85","0","","1472"
"lausanne","transit","outbound","13756","9266","9266","67.3596975865077","188","87","0","","3290"
"lausanne","soft","outbound","5688","4121","4121","72.4507735583685","188","47","4328","95.21719038817005","1355"
"bern","car","inbound","16019","15223","15223","95.03090080529371","708","340","0","","4669"
"bern","transit","inbound","53190","40024","40024","75.24722692235383","708","268","0","","15518"
"bern","soft","inbound","30559","20679","20679","67.66909911973559","708","111","21766","95.00597261784435","8907"
"bern","car","outbound","2877","2734","2734","95.02954466458117","230","120","0","","858"
"bern","transit","outbound","9542","8535","8535","89.44665688534899","230","144","0","","2836"
"bern","soft","outbound","5487","3681","3681","67.08583925642428","230","52","3867","95.1900698215671","1633"
"winterthur","car","inbound","11272","10715","10715","95.05855216465578","361","205","0","","2306"
"winterthur","transit","inbound","17163","12971","12971","75.57536561207249","361","191","0","","3508"
"winterthur","soft","inbound","8127","6285","6285","77.33480989294942","361","110","6632","94.76779252110977","1675"
"winterthur","car","outbound","9141","8685","8685","95.01148670823761","233","109","0","","1212"
"winterthur","transit","outbound","13916","12633","12633","90.78039666570854","233","146","0","","1839"
"winterthur","soft","outbound","6598","5503","5503","83.40406183692028","233","58","5787","95.09244859167099","881"
"lucerne","car","inbound","11413","10847","10847","95.04074301235433","395","187","0","","2258"
"lucerne","transit","inbound","17282","13442","13442","77.78034949658604","395","199","0","","3326"
"lucerne","soft","inbound","11157","8616","8616","77.22506050013445","395","63","9123","94.44261756001315","2129"
"lucerne","car","outbound","5238","4981","4981","95.09354715540283","193","100","0","","1256"
"lucerne","transit","outbound","7926","7077","7077","89.28841786525359","193","128","0","","1869"
"lucerne","soft","outbound","5125","3752","3752","73.20975609756097","193","43","3942","95.18011161846778","1202"
"st-gallen","car","inbound","18512","17598","17598","95.06266205704408","318","142","0","","3933"
"st-gallen","transit","inbound","18621","13308","13308","71.46769776059288","318","184","0","","4001"
"st-gallen","soft","inbound","10386","7655","7655","73.70498748315039","318","66","8400","91.13095238095238","2204"
"st-gallen","car","outbound","4876","4634","4634","95.0369155045119","159","91","0","","1272"
"st-gallen","transit","outbound","4933","4209","4209","85.323332657612","159","105","0","","1296"
"st-gallen","soft","outbound","2742","1921","1921","70.05835156819839","159","47","2106","91.21557454890788","717"
"lugano","car","inbound","17415","16545","16545","95.00430663221361","120","71","0","","350"
"lugano","transit","inbound","8527","2113","2113","24.780110238067316","120","27","0","","171"
"lugano","soft","inbound","7886","5968","5968","75.67841744864316","120","62","7165","83.29378925331473","154"
"lugano","car","outbound","3669","3491","3491","95.14854183701281","76","45","0","","123"
"lugano","transit","outbound","1800","1038","1038","57.666666666666664","76","28","0","","61"
"lugano","soft","outbound","1662","1472","1472","88.56799037304452","76","34","1623","90.6962415280345","56"
"biel-bienne","car","inbound","7021","6673","6673","95.04344110525567","296","174","0","","1226"
"biel-bienne","transit","inbound","8888","5281","5281","59.41719171917192","296","137","0","","1536"
"biel-bienne","soft","inbound","5604","4086","4086","72.91220556745182","296","87","4494","90.92122830440587","970"
"biel-bienne","car","outbound","3181","3022","3022","95.001571832757","171","109","0","","614"
"biel-bienne","transit","outbound","4021","2967","2967","73.78761502113902","171","103","0","","769"
"biel-bienne","soft","outbound","2535","1606","1606","63.353057199211044","171","61","1709","93.97308367466354","488"
"schaffhausen","car","inbound","5886","5593","5593","95.02208630648998","132","68","0","","258"
"schaffhausen","transit","inbound","5379","2862","2862","53.2069157836029","132","59","0","","234"
"schaffhausen","soft","inbound","2684","2425","2425","90.35022354694486","132","56","2547","95.21005104043974","115"
"schaffhausen","car","outbound","2342","2225","2225","95.00426985482494","92","56","0","","355"
"schaffhausen","transit","outbound","2148","1766","1766","82.21601489757914","92","55","0","","328"
"schaffhausen","soft","outbound","1073","837","837","78.00559179869525","92","33","886","94.46952595936794","161"
"la-chaux-de-fonds","car","inbound","6915","6583","6583","95.19884309472162","100","48","0","","715"
"la-chaux-de-fonds","transit","inbound","3363","1604","1604","47.69550996134404","100","58","0","","346"
"la-chaux-de-fonds","soft","inbound","2314","1818","1818","78.56525496974935","100","32","2058","88.33819241982508","241"
"la-chaux-de-fonds","car","outbound","2559","2435","2435","95.15435717076983","57","34","0","","290"
"la-chaux-de-fonds","transit","outbound","1246","1131","1131","90.77046548956662","57","44","0","","144"
"la-chaux-de-fonds","soft","outbound","853","710","710","83.2356389214537","57","21","746","95.17426273458445","97"
