"city","group","mappedPeople","summaryPeople","modelPeople","omittedFromMap","coveragePct","carPct","transitPct","softPct"
"zurich","foreignInbound","4278","4278","4278","0","100","16.386161757830763","61.87470780738663","21.73913043478261"
"zurich","swissInbound","233667","244783","244783","11116","95.45883496811462","16.397266195055355","61.876516581288755","21.726217223655887"
"zurich","swissOutbound","59883","65738","65738","5855","91.09343150080623","16.396974099494013","61.875657532187766","21.72736836831822"
"geneva","foreignInbound","119003","119003","119003","0","100","78.35516751678529","15.80464358041394","5.84018890280077"
"geneva","swissInbound","23398","23398","23398","0","100","29.981194973929394","65.04829472604496","4.970510300025643"
"geneva","swissOutbound","6881","6881","8703","0","100","29.981107397180644","65.01961924138934","4.999273361430025"
"basel","foreignInbound","35367","35367","35367","0","100","14.751039104249724","46.67345265360364","38.57550824214663"
"basel","swissInbound","63516","69635","69635","6119","91.2127522079414","14.726997921783488","46.696895270483026","38.57610680773348"
"basel","swissOutbound","19562","24985","24985","5423","78.29497698619171","14.737756875575094","46.656783559963195","38.60545956446171"
"lausanne","foreignInbound","8782","8782","8782","0","100","23.878387611022546","53.791846959690275","22.32976542928718"
"lausanne","swissInbound","59396","61593","61593","2197","96.43303622164856","23.92248636271803","53.79318472624419","22.28432891103778"
"lausanne","swissOutbound","25567","26589","26589","1022","96.15630523900862","23.948840301951734","53.80373137247233","22.24742832557594"
"bern","foreignInbound","593","593","593","0","100","16.020236087689714","53.288364249578414","30.69139966273187"
"bern","swissInbound","99175","106124","106124","6949","93.45199954769892","16.056465843206453","53.31383917317873","30.629694983614822"
"bern","swissOutbound","17906","21725","21725","3819","82.42117376294591","16.067240031274434","53.28940020104993","30.64335976767564"
"winterthur","foreignInbound","1148","1148","1148","0","100","30.662020905923345","47.038327526132406","22.299651567944252"
"winterthur","swissInbound","35414","36580","36580","1166","96.81246582832149","30.835262890382335","46.9390636471452","22.225673462472468"
"winterthur","swissOutbound","29655","30590","30590","935","96.94344557044786","30.824481537683358","46.92631933906593","22.249199123250715"
"lucerne","foreignInbound","235","235","235","0","100","28.51063829787234","42.97872340425532","28.51063829787234"
"lucerne","swissInbound","39617","40921","40921","1304","96.813372107231","28.639220536638312","43.36774616957367","27.99303329378802"
"lucerne","swissOutbound","18289","19182","19182","893","95.3445938901053","28.64016622013232","43.337525288424736","28.022308491442942"
"st-gallen","foreignInbound","1668","1668","1668","0","100","39.08872901678657","39.148681055155876","21.762589928057555"
"st-gallen","swissInbound","45851","46841","46841","990","97.88646698405243","38.952258402215875","39.18780397374103","21.859937624043095"
"st-gallen","swissOutbound","12551","12938","12938","387","97.00881125367135","38.84949406421799","39.303641144131944","21.846864791650066"
"lugano","foreignInbound","15663","15663","15663","0","100","51.45885207176148","25.21228372597842","23.328864202260103"
"lugano","swissInbound","18165","18248","18248","83","99.54515563349408","51.50013762730526","25.202312138728324","23.29755023396642"
"lugano","swissOutbound","7131","7197","7197","66","99.08295122967904","51.45140933950358","25.24190155658393","23.306689103912493"
"biel-bienne","foreignInbound","558","558","558","0","100","32.437275985663085","41.39784946236559","26.164874551971327"
"biel-bienne","swissInbound","20955","22117","22117","1162","94.74612289189311","32.64137437365784","41.31233595800525","26.04628966833691"
"biel-bienne","swissOutbound","9737","10854","10854","1117","89.70886309194766","32.669199958919585","41.29608709047962","26.034712950600802"
"schaffhausen","foreignInbound","3218","3218","3218","0","100","42.169049098819144","38.62647607209447","19.20447482908639"
"schaffhausen","swissInbound","10731","12322","12322","1591","87.0881350430125","42.20482713633398","38.54254030379275","19.252632559873263"
"schaffhausen","swissOutbound","5563","7764","7764","2201","71.6512107161257","42.09958655401762","38.612259572173286","19.288153873809097"
"la-chaux-de-fonds","foreignInbound","5580","5580","5580","0","100","54.92831541218638","26.72043010752688","18.351254480286737"
"la-chaux-de-fonds","swissInbound","7012","7469","7469","457","93.88137635560317","54.905875641756985","26.697090701654307","18.397033656588704"
"la-chaux-de-fonds","swissOutbound","4658","5158","5158","500","90.30632027917798","54.93774151996565","26.749677973379132","18.312580506655216"
