"origin","target","mode","originPage","targetPage","delta"
"zurich","winterthur","all","3374","3374","0"
"zurich","winterthur","car","553","1040","487"
"zurich","winterthur","transit","2088","1585","-503"
"zurich","winterthur","soft","733","749","16"
"zurich","lucerne","all","1274","1274","0"
"zurich","lucerne","car","209","363","154"
"zurich","lucerne","transit","788","553","-235"
"zurich","lucerne","soft","277","358","81"
"bern","biel-bienne","all","595","595","0"
"bern","biel-bienne","car","96","194","98"
"bern","biel-bienne","transit","317","246","-71"
"bern","biel-bienne","soft","182","155","-27"
"bern","la-chaux-de-fonds","all","8","8","0"
"bern","la-chaux-de-fonds","car","1","4","3"
"bern","la-chaux-de-fonds","transit","4","2","-2"
"bern","la-chaux-de-fonds","soft","3","2","-1"
"winterthur","zurich","all","11129","11129","0"
"winterthur","zurich","car","3430","1826","-1604"
"winterthur","zurich","transit","5228","6885","1657"
"winterthur","zurich","soft","2471","2418","-53"
"winterthur","st-gallen","all","695","695","0"
"winterthur","st-gallen","car","214","271","57"
"winterthur","st-gallen","transit","327","272","-55"
"winterthur","st-gallen","soft","154","152","-2"
"winterthur","schaffhausen","all","392","392","0"
"winterthur","schaffhausen","car","121","165","44"
"winterthur","schaffhausen","transit","184","151","-33"
"winterthur","schaffhausen","soft","87","76","-11"
"lucerne","zurich","all","1756","1756","0"
"lucerne","zurich","car","500","288","-212"
"lucerne","zurich","transit","762","1086","324"
"lucerne","zurich","soft","494","382","-112"
"st-gallen","winterthur","all","419","419","0"
"st-gallen","winterthur","car","163","129","-34"
"st-gallen","winterthur","transit","164","197","33"
"st-gallen","winterthur","soft","92","93","1"
"biel-bienne","bern","all","1337","1337","0"
"biel-bienne","bern","car","436","215","-221"
"biel-bienne","bern","transit","553","713","160"
"biel-bienne","bern","soft","348","409","61"
"biel-bienne","la-chaux-de-fonds","all","83","83","0"
"biel-bienne","la-chaux-de-fonds","car","27","46","19"
"biel-bienne","la-chaux-de-fonds","transit","34","22","-12"
"biel-bienne","la-chaux-de-fonds","soft","22","15","-7"
"schaffhausen","winterthur","all","763","763","0"
"schaffhausen","winterthur","car","322","235","-87"
"schaffhausen","winterthur","transit","294","358","64"
"schaffhausen","winterthur","soft","147","170","23"
"la-chaux-de-fonds","bern","all","69","69","0"
"la-chaux-de-fonds","bern","car","38","11","-27"
"la-chaux-de-fonds","bern","transit","18","37","19"
"la-chaux-de-fonds","bern","soft","13","21","8"
"la-chaux-de-fonds","biel-bienne","all","116","116","0"
"la-chaux-de-fonds","biel-bienne","car","64","38","-26"
"la-chaux-de-fonds","biel-bienne","transit","31","48","17"
"la-chaux-de-fonds","biel-bienne","soft","21","30","9"
