"city","source","category","originalPeople","appShare","originalShare","appPeople"
"zurich","FSO 2023 resident commuters","car","31443","0.16403987917299234","0.16403987917299234",""
"zurich","FSO 2023 resident commuters","transit","118591","0.6186958404415716","0.6186958404415716",""
"zurich","FSO 2023 resident commuters","soft","41645","0.21726428038543608","0.21726428038543608",""
"zurich","FSO Q4 2025 border workers","total","4277.8","","","4278"
"basel","FSO 2023 resident commuters","car","10334","0.14754426042261565","0.14754426042261565",""
"basel","FSO 2023 resident commuters","transit","32691","0.466747572815534","0.466747572815534",""
"basel","FSO 2023 resident commuters","soft","27015","0.3857081667618504","0.3857081667618504",""
"basel","FSO Q4 2025 border workers","total","35367.1","","","35367"
"lausanne","FSO 2023 resident commuters","car","13776","0.2388556566970091","0.2388556566970091",""
"lausanne","FSO 2023 resident commuters","transit","31029","0.537997399219766","0.537997399219766",""
"lausanne","FSO 2023 resident commuters","soft","12870","0.22314694408322497","0.22314694408322497",""
"lausanne","FSO Q4 2025 border workers","total","8781.9","","","8782"
"bern","FSO 2023 resident commuters","car","9805","0.1605560922890501","0.1605560922890501",""
"bern","FSO 2023 resident commuters","transit","32553","0.5330527763677152","0.5330527763677152",""
"bern","FSO 2023 resident commuters","soft","18711","0.3063911313432347","0.3063911313432347",""
"bern","FSO Q4 2025 border workers","total","593.1","","","593"
"winterthur","FSO 2023 resident commuters","car","15165","0.308175333780406","0.308175333780406",""
"winterthur","FSO 2023 resident commuters","transit","23116","0.4697514682273568","0.4697514682273568",""
"winterthur","FSO 2023 resident commuters","soft","10928","0.22207319799223718","0.22207319799223718",""
"winterthur","FSO Q4 2025 border workers","total","1148","","","1148"
"lucerne","FSO 2023 resident commuters","car","10603","0.2848201574126306","0.2848201574126306",""
"lucerne","FSO 2023 resident commuters","transit","16159","0.4340666720391114","0.4340666720391114",""
"lucerne","FSO 2023 resident commuters","soft","10465","0.28111317054825796","0.28111317054825796",""
"lucerne","FSO Q4 2025 border workers","total","234.9","","","235"
"st-gallen","FSO 2023 resident commuters","car","13336","0.3903067197377663","0.3903067197377663",""
"st-gallen","FSO 2023 resident commuters","transit","13354","0.39083352844767033","0.39083352844767033",""
"st-gallen","FSO 2023 resident commuters","soft","7478","0.21885975181456332","0.21885975181456332",""
"st-gallen","FSO Q4 2025 border workers","total","1667.8","","","1668"
"lugano","FSO 2023 resident commuters","car","11115","0.5146548131684956","0.5146548131684956",""
"lugano","FSO 2023 resident commuters","transit","5445","0.2521183497708015","0.2521183497708015",""
"lugano","FSO 2023 resident commuters","soft","5037","0.23322683706070288","0.23322683706070288",""
"lugano","FSO Q4 2025 border workers","total","15662.5","","","15663"
"biel-bienne","FSO 2023 resident commuters","car","7560","0.32612915749967647","0.32612915749967647",""
"biel-bienne","FSO 2023 resident commuters","transit","9590","0.41370087571718217","0.41370087571718217",""
"biel-bienne","FSO 2023 resident commuters","soft","6031","0.26016996678314136","0.26016996678314136",""
"biel-bienne","FSO Q4 2025 border workers","total","557.8","","","558"
"schaffhausen","FSO 2023 resident commuters","car","6692","0.42188879082082964","0.42188879082082964",""
"schaffhausen","FSO 2023 resident commuters","transit","6117","0.38563863321144876","0.38563863321144876",""
"schaffhausen","FSO 2023 resident commuters","soft","3053","0.1924725759677216","0.1924725759677216",""
"schaffhausen","FSO Q4 2025 border workers","total","3217.7","","","3218"
"la-chaux-de-fonds","FSO 2023 resident commuters","car","7996","0.5491003982969372","0.5491003982969372",""
"la-chaux-de-fonds","FSO 2023 resident commuters","transit","3893","0.2673396511468205","0.2673396511468205",""
"la-chaux-de-fonds","FSO 2023 resident commuters","soft","2673","0.18355995055624227","0.18355995055624227",""
"la-chaux-de-fonds","FSO Q4 2025 border workers","total","5579.9","","","5580"
