"city","minute","carNow","transitNow","activeNow","populationChange","vsDailyAverage","routeDerivedCarPopulation","curveCarPopulationSameCoverage"
"zurich","0","0","0","0","16","-74073","0","2"
"zurich","5","0","0","0","18","-74071","0","3"
"zurich","10","0","0","0","20","-74069","0","3"
"zurich","15","0","0","0","22","-74067","0","3"
"zurich","20","0","0","0","24","-74065","0","4"
"zurich","25","0","0","0","27","-74062","0","4"
"zurich","30","0","0","0","30","-74059","0","4"
"zurich","35","0","0","0","33","-74056","0","5"
"zurich","40","0","0","0","37","-74052","0","6"
"zurich","45","0","0","0","41","-74048","0","6"
"zurich","50","0","0","0","45","-74044","0","7"
"zurich","55","0","0","0","50","-74039","0","7"
"zurich","60","0","0","0","55","-74034","0","8"
"zurich","65","0","0","0","61","-74028","0","9"
"zurich","70","0","0","0","68","-74021","0","10"
"zurich","75","0","0","0","75","-74014","0","11"
"zurich","80","0","0","0","83","-74006","0","13"
"zurich","85","0","0","0","92","-73997","0","14"
"zurich","90","0","0","0","102","-73987","0","15"
"zurich","95","0","0","0","113","-73976","0","17"
"zurich","100","0","0","0","126","-73963","0","19"
"zurich","105","0","0","0","139","-73950","0","21"
"zurich","110","0","0","0","154","-73935","0","23"
"zurich","115","0","0","0","171","-73918","0","26"
"zurich","120","0","0","0","189","-73900","0","28"
"zurich","125","0","0","0","209","-73880","0","31"
"zurich","130","0","0","0","232","-73857","0","35"
"zurich","135","0","0","0","257","-73832","0","39"
"zurich","140","0","0","0","284","-73805","0","43"
"zurich","145","0","0","0","315","-73774","0","47"
"zurich","150","0","0","0","349","-73740","0","52"
"zurich","155","0","0","0","386","-73703","0","58"
"zurich","160","0","0","0","428","-73661","0","64"
"zurich","165","0","0","0","474","-73615","0","71"
"zurich","170","0","0","0","524","-73565","0","79"
"zurich","175","0","0","0","581","-73508","0","87"
"zurich","180","0","0","0","643","-73446","0","97"
"zurich","185","0","0","0","711","-73378","0","107"
"zurich","190","0","0","0","788","-73301","0","118"
"zurich","195","0","0","0","872","-73217","0","131"
"zurich","200","0","0","0","965","-73124","0","145"
"zurich","205","0","0","0","1068","-73021","0","161"
"zurich","210","0","0","0","1181","-72908","0","178"
"zurich","215","0","0","0","1307","-72782","0","197"
"zurich","220","0","0","0","1446","-72643","0","218"
"zurich","225","0","0","0","1600","-72489","0","241"
"zurich","230","0","0","0","1770","-72319","0","267"
"zurich","235","0","0","0","1957","-72132","0","295"
"zurich","240","0","0","0","2165","-71924","0","326"
"zurich","245","0","0","0","2393","-71696","0","361"
"zurich","250","0","0","0","2646","-71443","0","399"
"zurich","255","0","0","0","2924","-71165","0","441"
"zurich","260","0","0","0","3231","-70858","0","487"
"zurich","265","0","0","0","3570","-70519","0","539"
"zurich","270","0","0","0","3944","-70145","0","595"
"zurich","275","0","0","0","4355","-69734","0","657"
"zurich","280","0","0","0","4808","-69281","0","726"
"zurich","285","0","0","0","5307","-68782","0","801"
"zurich","290","0","8334","0","5855","-68234","0","884"
"zurich","295","0","12426","0","6458","-67631","0","975"
"zurich","300","0","16035","0","7120","-66969","0","1076"
"zurich","305","26","19430","0","7847","-66242","-5","1186"
"zurich","310","103","22242","0","8644","-65445","-21","1306"
"zurich","315","232","24092","257","9518","-64571","-47","1439"
"zurich","320","412","26061","257","10474","-63615","-83","1583"
"zurich","325","640","27676","463","11519","-62570","-126","1742"
"zurich","330","904","28682","647","12661","-61428","-168","1915"
"zurich","335","1194","28442","820","13906","-60183","-202","2104"
"zurich","340","1500","27124","1528","15262","-58827","-216","2309"
"zurich","345","1815","24953","2061","16737","-57352","-208","2533"
"zurich","350","2137","24752","2564","18339","-55750","-174","2776"
